永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社,永信旅行社
<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>,<< 團體銷售動態表 >>
"團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,","團體狀態：開團, 出發日期：2023/12/20至2026/12/20,",日期：2023/12/20,日期：2023/12/20
線別,出發日,團體代碼,團名,產品名稱,同業價,直客價,總機位,保留,報名,可售,收訂,訂金,班機,進出點,狀態,員工備註
東歐,2024/01/16,PRG10CIZ240116A,漫遊捷克深度10天(CI),漫遊捷克深度10天～雙溫泉區、皮爾森酒廠、米其林、世界遺產古城、布拉格舊城漫遊,64900,69900,20,0,0,20,0,20000,CI067/CI068,PRG/PRG,可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/17,FRA12CIG240117A,捷克 波希米亞小鎮 & 德東 三大名城 深度 12天,捷克 波希米亞小鎮 & 德東 三大名城 深度 12天,89900,99900,28,1,0,27,0,20000,CI061/CI062,FRA/FRA,可報名,★此價格已為早鳥優惠價，僅限前10名
東歐,2024/01/17,FRA10CIX240117A,童話德奧捷10天(CI),童話德奧捷10天(CI)城堡.湖區.羅曼蒂克大道.米其林.OUTLET,69900,76900,28,1,0,27,0,20000,CI061/CI062,FRA/FRA,可報名,【PUSH】★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/17,FRA12CIX240117A,童話德奧捷12天(CI),童話德奧捷12天(CI)城堡.羅曼蒂克大道.米其林.新天鵝堡.三大湖區,89900,99900,28,1,0,27,0,20000,CI061/CI062,FRA/FRA,可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/17,VIE10CIC240117A,超值克斯10天(CI),超值克.斯~十六湖國家公園、鐘乳石洞、纜車、OUTLET 10天(CI),69900,75900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,可報名,★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/19,FRA12CIG240119A,捷克 波希米亞小鎮 & 德東 三大名城 深度 12天,捷克 波希米亞小鎮 & 德東 三大名城 深度 12天,89900,99900,28,1,0,27,0,20000,CI061/CI062,FRA/FRA,可報名,★此價格已為早鳥優惠價，僅限前10名
東歐,2024/01/21,VIE10CIF240121A,五星奧捷10天(CI)三晚五星,五星奧捷10天(CI)米其林、三晚五星、鹽礦、兩大湖區、Outlet、雙城堡皇宮、遊船饗宴,74900,80900,20,0,0,20,0,20000,CI063/CI064,VIE/VIE,可報名,此價格10名後調漲3000
東歐,2024/01/21,VIE10CIA240121S,金色夢幻 品味奧地利捷克 10 天CI,金色夢幻 品味奧地利捷克 10 天CI,91900,0,21,0,21,0,20,20000,/,,可報名,AGT SP包團
東歐,2024/01/21,FRA10CIX240121A,童話德奧捷10天(CI),童話德奧捷10天(CI)城堡.湖區.羅曼蒂克大道.米其林.OUTLET,69900,76900,28,1,0,27,0,20000,CI061/CI062,FRA/FRA,可報名,【PUSH】★此價格已為早鳥優惠價僅限前十名
東歐,2024/01/21,VIE12CIO240121A,超值小東歐十二天(CI)(VIE進PRG出),超值小東歐十二天(CI) 德奧捷斯匈、米其林、多瑙河遊船、雙城堡皇宮、國王湖區,82900,92900,20,0,0,20,0,20000,CI063/CI068,VIE/PRG,可報名,
